id_pessoa,cpf,email,nome,data_nascimento,sexo,cidade,uf,numero_filhos,tabaco,alcool,outras_drogas,religiao,tipo_de_personalidade,latitude,longitude

0,47139957952,john@gmail.com,John,8/5/1942,M,Santo Andre,SP,2,0,0,1,0,13,34.1095,50.8548

1,49337267118,vern@yahoo.com,Vern,2/2/1980,M,Ribeirao Preto,SP,4,1,1,1,4,13,35.6643,46.8264

2,48860521712,theron@gmail.com,Theron,22/11/1976,M,Vitoria,ES,0,1,0,0,3,5,23.6961,41.1338

3,43680942815,joel@gmail.com,Joel,13/12/1998,M,Duque de Caxias,RJ,4,1,1,0,8,13,38.4862,52.3547

4,46763940549,angus@yahoo.com,Angus,18/2/1974,M,Governador Valadares,MG,5,0,1,0,3,9,35.4844,33.5027

5,44040589206,wood@outlook.com,Wood,18/12/1936,M,Serra,ES,4,1,1,1,10,12,28.8125,58.1263

6,49503885222,lawson@outlook.com,Lawson,26/12/1989,M,Cariacica,ES,5,0,1,1,9,7,24.1174,33.1548

7,44213741818,hezekiah@yahoo.com,Hezekiah,26/8/1988,M,Cariacica,ES,2,1,1,1,5,10,13.3151,40.5206

8,47518882677,asa@yahoo.com,Asa,24/10/1968,M,Vila Velha,ES,0,1,0,1,3,14,11.5182,43.9272

9,47755059441,tommy@yahoo.com,Tommy,27/12/1965,M,Itajai,SC,0,1,1,0,7,9,39.9495,31.8663

10,43598683098,mace@outlook.com,Mace,27/4/1965,M,Petropolis,RJ,0,0,1,0,0,0,39.2766,43.1576

11,49049355265,herschel@gmail.com,Herschel,4/3/1993,M,Sao Goncalo,RJ,3,0,0,1,1,15,12.0858,51.7102

12,46960676088,stewart@gmail.com,Stewart,21/6/1933,M,Sao Mateus,ES,3,0,1,1,8,10,12.562,32.7653

13,43221448306,ignatius@yahoo.com,Ignatius,5/2/1966,M,Contagem,MG,2,0,0,1,6,3,21.0004,56.8547

14,46413720261,arnold@gmail.com,Arnold,26/1/1973,M,Volta Redonda,RJ,3,1,0,1,0,8,35.6522,34.4237

15,45737312812,duncan@outlook.com,Duncan,22/5/1960,M,Vila Velha,ES,4,0,0,1,3,4,15.2245,45.3676

16,49459227124,pinkney@yahoo.com,Pinkney,22/12/1964,M,Itajai,SC,3,1,0,1,7,11,14.7195,54.7311

17,41396959009,lou@aol.com,Lou,3/6/1979,M,Ribeirao das Neves,MG,5,1,1,0,5,8,39.8394,53.2294

18,43179837424,brooks@aol.com,Brooks,22/2/1985,M,Niteroi,RJ,0,0,1,1,7,6,32.8372,54.8638

19,48296443824,boss@gmail.com,Boss,27/5/1930,M,Maua,SP,4,1,0,1,9,9,37.7233,55.9571

20,45819830831,eric@yahoo.com,Eric,27/10/1990,M,Jaragua do Sul,SC,0,1,0,1,2,3,18.0683,40.2842

21,44296464572,colonel@yahoo.com,Colonel,13/7/1966,M,Osasco,SP,4,1,1,1,10,15,34.0763,55.5427

22,40386858621,rudolph@outlook.com,Rudolph,19/10/1932,M,Aracruz,ES,4,1,0,0,10,15,38.774,31.5519

23,40139528942,billie@outlook.com,Billie,22/1/1935,M,Santo Andre,SP,2,0,0,0,0,13,32.5062,59.7726

24,45125002296,callie@yahoo.com,Callie,2/9/1933,M,Duque de Caxias,RJ,4,1,1,0,5,5,26.6826,49.3688

25,40588518273,clair@gmail.com,Clair,19/9/1950,M,Campos dos Goytacazes,RJ,3,1,0,1,3,9,11.8891,59.1739

26,44189423651,max@aol.com,Max,21/2/1958,M,Betim,MG,3,1,1,1,8,5,13.4345,39.4919

27,42163479799,jones@outlook.com,Jones,20/12/1982,M,Niteroi,RJ,2,0,0,1,10,4,19.6735,44.6914

28,49361823883,adron@yahoo.com,Adron,17/8/1976,M,Maua,SP,2,1,0,0,8,5,29.5524,34.8088

29,40079246549,loren@aol.com,Loren,13/4/1967,M,Cariacica,ES,4,0,1,0,7,14,26.2086,59.9402

30,41848938358,adelbert@outlook.com,Adelbert,15/8/1969,M,Lages,SC,0,0,0,0,0,1,35.0622,59.7877

31,44337382575,mack@outlook.com,Mack,23/3/1934,M,Colatina,ES,2,0,1,0,2,13,28.5364,51.7455

32,44060609865,maxwell@aol.com,Maxwell,26/10/1989,M,Cachoeiro de Itapemirim,ES,5,1,1,1,9,2,20.5942,49.3309

33,46560415553,ernie@gmail.com,Ernie,18/9/1944,M,Guarulhos,SP,5,1,0,1,9,5,27.8252,54.4355

34,40266921604,fletcher@yahoo.com,Fletcher,26/2/1953,M,Volta Redonda,RJ,2,0,0,1,0,2,33.7068,44.4393

35,46256008255,gladys@aol.com,Gladys,27/1/1999,M,Maua,SP,0,0,1,0,5,2,21.5213,51.6292

36,42558747791,manuel@gmail.com,Manuel,9/3/1949,M,Vila Velha,ES,2,0,1,0,1,5,30.0097,48.5699

37,47434945161,jewell@gmail.com,Jewell,30/8/1972,M,Sao Joao de Meriti,RJ,1,1,0,0,0,10,21.1915,55.219

38,44054381882,buddy@yahoo.com,Buddy,5/5/1977,M,Sao Joao de Meriti,RJ,4,0,1,1,7,0,32.8321,43.2644

39,42755625066,royal@aol.com,Royal,2/4/1985,M,Joinville,SC,2,0,1,1,4,7,30.0193,59.3498

40,40773220274,louise@outlook.com,Louise,3/10/1984,M,Vila Velha,ES,0,0,1,1,2,7,14.658,41.1913

41,40607345000,ed@gmail.com,Ed,5/1/1980,M,Sao Jose,SC,2,0,0,0,1,0,17.5114,53.3029

42,47713723415,murphy@gmail.com,Murphy,12/7/1947,M,Jaragua do Sul,SC,1,0,0,0,1,14,32.5068,49.8195

43,46897350835,almon@aol.com,Almon,16/1/1948,M,Chapeco,SC,2,0,1,1,9,7,17.1827,34.7489

44,49744197722,dock@outlook.com,Dock,3/6/1997,M,Colatina,ES,0,1,0,0,10,4,34.7519,50.5288

45,40112253013,lonnie@outlook.com,Lonnie,5/1/1974,M,Sao Joao de Meriti,RJ,4,1,1,1,7,14,25.902,57.3224

46,47411065551,laverne@aol.com,Laverne,16/8/1971,M,Itajai,SC,0,0,0,1,6,4,26.0427,55.2499

47,41891434959,josephine@gmail.com,Josephine,30/4/1948,M,Guarulhos,SP,4,0,0,1,10,6,14.1073,54.0126

48,49524809552,pat@yahoo.com,Pat,12/12/1963,M,Joinville,SC,4,1,1,0,2,10,20.1335,32.9257

49,47132722324,mildred@gmail.com,Mildred,23/1/1968,M,Joinville,SC,3,1,0,1,10,4,17.9818,31.5988

50,45245385555,horace@yahoo.com,Horace,19/3/1938,M,Uberlandia,MG,5,0,0,1,1,14,32.3885,55.2097

51,43615246219,raleigh@outlook.com,Raleigh,17/10/1971,M,Uberlandia,MG,4,1,1,0,7,4,10.8991,57.2942

52,47342535632,stacy@gmail.com,Stacy,14/2/1956,M,Volta Redonda,RJ,5,1,0,1,7,0,16.1754,34.7937

53,40717759926,elton@yahoo.com,Elton,22/2/1978,M,Governador Valadares,MG,2,1,1,1,1,12,29.3162,45.1875

54,43763582582,josiah@outlook.com,Josiah,12/7/1939,M,Belford Roxo,RJ,1,0,0,1,9,11,35.0791,33.477

55,45459595263,johnnie@gmail.com,Johnnie,13/5/1988,M,Volta Redonda,RJ,3,0,1,0,1,9,30.3275,37.4541

56,44977632824,burley@gmail.com,Burley,27/6/1970,M,Santo Andre,SP,2,0,1,1,8,1,35.2663,31.8654

57,43731731304,eli@gmail.com,Eli,7/5/1957,M,Montes Claros,MG,0,0,1,0,2,9,36.3036,30.4989

58,46971595590,bertrand@yahoo.com,Bertrand,9/3/1955,M,Rio de Janeiro,RJ,0,0,0,1,4,1,13.4695,49.3644

59,44013440216,ben@outlook.com,Ben,14/8/1991,M,Sao Joao de Meriti,RJ,0,0,1,0,3,11,22.4354,53.8275

60,42868910110,lincoln@aol.com,Lincoln,24/8/1951,M,Uberlandia,MG,1,0,0,1,6,2,17.2111,39.1847

61,45210331333,linus@aol.com,Linus,17/1/1988,M,Linhares,ES,3,1,0,1,2,0,10.9999,59.1891

62,46994952468,neal@outlook.com,Neal,27/4/1956,M,Ribeirao das Neves,MG,0,0,0,0,2,1,27.3579,41.6079

63,46005230963,tracy@yahoo.com,Tracy,26/7/1970,M,Juiz de Fora,MG,2,0,0,0,1,3,14.5138,35.6956

64,43782268622,nicholas@yahoo.com,Nicholas,18/5/1997,M,Palhoca,SC,5,0,0,1,5,6,13.743,44.1047

65,43719089780,royce@aol.com,Royce,12/10/1982,M,Uberlandia,MG,5,0,0,0,6,5,39.9568,49.8495

66,40561448166,oakley@yahoo.com,Oakley,6/6/1939,M,Vitoria,ES,4,0,1,1,6,6,16.4588,45.3903

67,44059733793,roosevelt@aol.com,Roosevelt,3/3/1936,M,Uberaba,MG,3,1,0,1,7,14,17.1842,57.1643

68,46435886406,masao@outlook.com,Masao,25/1/1969,M,Contagem,MG,1,0,0,0,6,14,29.4568,34.3902

69,42436044244,virgil@outlook.com,Virgil,30/11/1986,M,Belford Roxo,RJ,4,0,1,0,9,5,25.0605,44.0009

70,45462541355,durwood@aol.com,Durwood,21/3/1985,M,Santo Andre,SP,1,1,0,1,9,10,10.3739,55.1401

71,42978985010,phil@aol.com,Phil,10/9/1971,M,Juiz de Fora,MG,1,0,1,0,8,4,26.1853,40.5804

72,48893996168,finis@aol.com,Finis,24/10/1961,M,Duque de Caxias,RJ,5,1,1,1,5,9,34.2896,47.4305

73,46983492252,galen@outlook.com,Galen,15/6/1964,M,Belford Roxo,RJ,0,1,0,1,7,10,39.9393,42.2132

74,48007898933,micheal@gmail.com,Micheal,25/12/1980,M,Sao Jose,SC,4,0,0,1,0,11,30.3752,34.6592

75,48984982005,sigmund@outlook.com,Sigmund,22/10/1961,M,Blumenau,SC,1,1,0,0,5,3,35.2377,35.1798

76,42257086735,rodney@outlook.com,Rodney,18/3/1995,M,Cachoeiro de Itapemirim,ES,1,0,0,0,6,13,17.2091,54.9185

77,41930805991,hermon@aol.com,Hermon,17/7/1989,M,Linhares,ES,5,1,0,1,3,0,37.8685,51.7761

78,44686460500,harvey@yahoo.com,Harvey,5/2/1976,M,RIbeirao Preto,SP,4,1,1,0,10,8,21.0895,39.1913

79,49332864816,hugo@yahoo.com,Hugo,18/4/1977,M,Osasco,SP,5,1,1,1,5,3,18.2356,49.5369

80,44909554766,judge@gmail.com,Judge,29/7/1986,M,Governador Valadares,MG,3,0,0,1,3,5,20.6883,50.8797

81,44090626788,benny@gmail.com,Benny,29/8/1970,M,Itajai,SC,3,1,1,0,6,8,36.0244,37.6952

82,43934278158,evert@outlook.com,Evert,17/5/1983,M,Rio de Janeiro,RJ,5,1,1,1,1,10,27.7462,58.7497

83,47173341063,lester@gmail.com,Lester,22/1/1947,M,Cariacica,ES,3,0,1,1,8,15,33.0732,37.201

84,46775139624,luke@gmail.com,Luke,27/5/1990,M,Sao Jose dos Campos,SP,0,0,1,0,6,4,13.1317,35.8654

85,48463548675,alois@outlook.com,Alois,14/4/1990,M,Cariacica,ES,4,0,1,0,0,12,24.8266,56.4151

86,43314843472,reginald@aol.com,Reginald,15/3/1935,M,Santo Andre,SP,3,0,0,0,3,5,27.5311,34.0573

87,43562545681,hyman@yahoo.com,Hyman,21/8/1987,M,Vitoria,ES,1,1,0,0,8,10,24.5446,51.1546

88,43634101464,don@gmail.com,Don,1/7/1969,M,Betim,MG,3,0,0,0,2,14,11.2351,33.9078

89,48091882768,norwood@yahoo.com,Norwood,24/5/1933,M,Sao Bernardo do Campo,SP,4,1,1,1,5,11,35.1264,42.6784

90,47551076618,harlan@outlook.com,Harlan,19/11/1989,M,Cachoeiro de Itapemirim,ES,0,0,1,0,6,15,23.9623,54.9053

91,48269786562,jon@aol.com,Jon,18/7/1945,M,Vitoria,ES,1,0,1,0,0,13,23.6527,44.86

92,40507334536,frederick@aol.com,Frederick,12/5/1967,M,Itajai,SC,0,1,1,1,5,14,19.0868,38.7142

93,49559675802,rodger@aol.com,Rodger,4/11/1938,M,Osasco,SP,3,0,1,0,5,3,36.764,57.197

94,41948773078,marco@yahoo.com,Marco,17/2/1947,M,Chapeco,SC,0,1,1,1,4,1,35.735,37.7762

95,46446772525,dallas@aol.com,Dallas,27/2/1977,M,Petropolis,RJ,5,1,0,1,5,13,25.1741,41.0824

96,45325853623,alejandro@outlook.com,Alejandro,26/2/1986,M,Guarapari,ES,3,1,1,0,6,10,12.8436,41.4047

97,49521372736,theodore@aol.com,Theodore,25/12/1940,M,Ribeirao das Neves,MG,3,0,1,0,7,7,15.7762,47.2627

98,43839179464,jeff@outlook.com,Jeff,22/2/1953,M,Osasco,SP,1,1,1,1,8,6,16.4393,54.0553

99,44022333989,otho@gmail.com,Otho,19/11/1993,M,Belo Horizonte,MG,0,0,0,0,2,7,18.0309,56.2662

100,47056964123,wilfred@gmail.com,Wilfred,9/8/1936,M,Osasco,SP,0,0,1,1,1,11,39.6748,32.6319

101,47292233796,reynaldo@yahoo.com,Reynaldo,24/2/1939,M,Juiz de Fora,MG,5,0,0,1,7,7,16.7963,44.144

102,42024157283,alfred@aol.com,Alfred,11/5/1952,M,Guarulhos,SP,1,0,0,1,8,5,29.8145,31.8634

103,46554761742,rolland@outlook.com,Rolland,9/10/1963,M,Lages,SC,3,0,1,0,5,7,12.2659,49.6173

104,44048396382,garfield@yahoo.com,Garfield,21/11/1930,M,Belford Roxo,RJ,0,1,0,0,10,2,37.3884,31.8623

105,47809340145,ellis@outlook.com,Ellis,30/1/1980,M,Serra,ES,5,0,1,0,0,4,28.8838,42.4217

106,41665658884,robin@gmail.com,Robin,20/7/1947,M,Governador Valadares,MG,4,0,0,0,0,10,30.3261,31.3003

107,46725898145,stanley@gmail.com,Stanley,13/5/1981,M,Chapeco,SC,1,0,1,0,8,15,18.717,42.991

108,42497053771,ward@yahoo.com,Ward,2/2/1945,M,Cariacica,ES,5,1,1,0,10,6,10.9694,38.2524

109,41413597351,von@aol.com,Von,13/10/1939,M,Governador Valadares,MG,2,1,0,1,8,1,22.6358,42.7408

110,42152746146,eldon@aol.com,Eldon,27/1/1964,M,Belford Roxo,RJ,2,0,0,0,0,11,39.7555,58.1766

111,40969386210,justin@yahoo.com,Justin,2/4/1989,M,Ribeirao das Neves,MG,1,1,1,1,2,4,27.9272,30.462

112,43766932675,francis@aol.com,Francis,22/4/1930,M,Guarulhos,SP,5,0,1,0,4,1,26.1648,52.6139

113,49998395190,jerrold@aol.com,Jerrold,13/1/1956,M,Niteroi,RJ,3,0,0,0,9,14,23.104,38.906

114,49886059226,kim@outlook.com,Kim,17/8/1977,M,Volta Redonda,RJ,4,1,0,1,0,12,21.4923,43.0394

115,44720575830,avery@aol.com,Avery,15/5/1946,M,RIbeirao Preto,SP,4,1,0,0,4,3,37.3983,33.1077

116,46053151776,harry@gmail.com,Harry,1/3/1944,M,Sao Jose,SC,0,0,1,0,6,5,17.5611,41.9718

117,40846181193,mervin@aol.com,Mervin,30/12/1949,M,Ipatinga,MG,4,0,0,1,2,4,19.3242,44.7535

118,42862594740,vicente@gmail.com,Vicente,27/4/1973,M,Palhoca,SC,3,1,1,1,10,1,10.9942,36.7481

119,47139427237,clark@yahoo.com,Clark,30/6/1938,M,Cariacica,ES,4,1,1,1,0,12,31.0936,49.7049

120,42743027750,donn@aol.com,Donn,6/10/1987,M,Cariacica,ES,1,1,1,0,9,12,10.2239,50.5615

121,47381313886,albert@outlook.com,Albert,6/3/1941,M,Chapeco,SC,3,0,1,0,2,7,32.6874,52.3524

122,41830389105,vaughn@gmail.com,Vaughn,9/6/1954,M,Betim,MG,3,1,1,1,8,11,18.1233,52.1959

123,43883710364,newell@aol.com,Newell,24/6/1977,M,Ipatinga,MG,1,0,0,0,1,1,32.6181,53.0559

124,42221355591,ross@aol.com,Ross,1/5/1958,M,Juiz de Fora,MG,5,1,1,0,4,10,19.8118,57.357

125,43364569967,dee@gmail.com,Dee,21/3/1959,M,Cariacica,ES,3,1,1,1,1,4,10.6255,59.2337

126,44547322759,peter@gmail.com,Peter,5/10/1960,M,Volta Redonda,RJ,0,1,1,1,8,8,28.3452,45.2678

127,42418589663,merlin@outlook.com,Merlin,12/11/1939,M,Ipatinga,MG,5,1,1,0,4,14,32.1039,58.1337

128,47426900028,lenny@yahoo.com,Lenny,18/11/1985,M,Cachoeiro de Itapemirim,ES,4,0,1,0,4,15,17.7556,56.0139

129,46463479509,mitchell@outlook.com,Mitchell,4/2/1964,M,Chapeco,SC,5,1,1,0,4,6,21.1205,37.6647

130,43953995610,burl@outlook.com,Burl,30/5/1959,M,Belford Roxo,RJ,3,1,0,0,10,12,24.4426,32.6238

131,41165100690,gregory@gmail.com,Gregory,7/10/1953,M,Sao Joao de Meriti,RJ,3,1,0,0,9,6,17.3248,52.8438

132,40950890795,thurman@aol.com,Thurman,3/1/1977,M,Sao Bernardo do Campo,SP,1,1,0,1,9,6,33.8699,47.477

133,43969829178,tyler@yahoo.com,Tyler,10/3/1987,M,Palhoca,SC,5,1,0,0,3,9,10.0871,47.366

134,48707542893,byron@outlook.com,Byron,4/11/1954,M,Betim,MG,0,1,1,0,5,2,39.6412,37.6085

135,47260703585,basil@gmail.com,Basil,1/4/1939,M,Uberaba,MG,1,1,0,0,2,11,17.0581,32.8963

136,40686820441,terry@gmail.com,Terry,7/3/1970,M,Uberaba,MG,1,0,1,0,8,9,20.2956,32.4028

137,42854606924,rodolfo@aol.com,Rodolfo,26/11/1950,M,Guarapari,ES,4,0,0,1,9,10,11.2819,43.5359

138,43613950207,kip@yahoo.com,Kip,4/4/1975,M,Sao Joao de Meriti,RJ,4,1,0,1,2,8,37.6444,53.1676

139,44862142956,tyrone@gmail.com,Tyrone,4/5/1959,M,Osasco,SP,5,1,0,1,0,5,18.3758,55.3974

140,45218227626,mitchel@outlook.com,Mitchel,20/12/1970,M,Campos dos Goytacazes,RJ,3,1,1,1,1,5,38.9669,47.3678

141,47192760101,edward@yahoo.com,Edward,28/5/1950,M,Uberaba,MG,1,0,0,0,5,15,37.0646,53.5107

142,49039360003,barney@yahoo.com,Barney,2/11/1992,M,Contagem,MG,4,1,1,0,1,8,21.0169,37.9206

143,48275998262,walker@gmail.com,Walker,1/11/1950,M,Sorocaba,SP,2,1,1,1,2,10,11.0601,51.5981

144,46492536568,morris@gmail.com,Morris,20/4/1964,M,Sao Jose,SC,1,1,0,1,10,8,22.9857,55.0091

145,40699349294,arlen@yahoo.com,Arlen,28/11/1950,M,Guarapari,ES,0,0,1,0,0,7,19.9175,52.0076

146,46063362292,larry@aol.com,Larry,9/1/1939,M,Chapeco,SC,2,1,0,0,3,11,39.8042,52.3248

147,47988675428,dannie@gmail.com,Dannie,2/3/1989,M,RIbeirao Preto,SP,5,0,0,1,2,3,27.441,42.1202

148,42220701112,dewitt@gmail.com,Dewitt,10/6/1975,M,Belford Roxo,RJ,2,1,1,0,9,2,12.2344,31.7223

149,47256176293,clifton@aol.com,Clifton,23/1/1960,M,Guarulhos,SP,2,0,0,0,4,7,39.6833,55.9391

150,48913242529,matt@gmail.com,Matt,6/10/1964,M,Governador Valadares,MG,1,1,1,1,5,13,11.5023,40.6524

151,43365583593,joseph@aol.com,Joseph,10/10/1931,M,Sao Joao de Meriti,RJ,5,1,1,1,3,3,27.8228,35.5052

152,44229146857,bart@aol.com,Bart,27/1/1952,M,Campos dos Goytacazes,RJ,1,1,0,0,3,10,31.8831,49.4675

153,41862835243,bertram@gmail.com,Bertram,8/12/1979,M,Niteroi,RJ,2,1,1,0,3,7,26.3164,55.7581

154,49469849857,antonio@yahoo.com,Antonio,11/5/1993,M,RIbeirao Preto,SP,4,1,0,0,4,9,31.322,36.722

155,43083745340,rogelio@gmail.com,Rogelio,25/1/1995,M,Jaragua do Sul,SC,1,1,0,1,7,2,33.0458,48.0479

156,45357525531,richard@yahoo.ca,Richard,17/8/1980,M,Itajai,SC,0,1,0,0,0,4,23.2071,43.0616

157,49138241029,dewey@outlook.com,Dewey,3/1/1946,M,Campinas,SP,5,0,0,0,3,8,37.9407,53.1028

158,45945013850,damian@aol.com,Damian,16/6/1982,M,Sao Mateus,ES,4,0,0,1,1,1,39.0621,30.5341

159,46135358216,jimmie@aol.com,Jimmie,18/6/1951,M,Itajai,SC,0,1,0,1,10,8,27.3402,43.6624

160,42489222163,jake@gmail.com,Jake,17/11/1946,M,Osasco,SP,1,0,0,0,9,13,28.8921,56.3009

161,48756155880,james@gmail.com,James,28/7/1968,M,Vila Velha,ES,1,0,1,1,2,10,27.6373,43.0241

162,49025221168,alfonso@gmail.com,Alfonso,13/10/1947,M,Serra,ES,1,0,1,1,6,7,20.6982,54.2039

163,44214735377,lars@outlook.com,Lars,10/10/1943,M,Governador Valadares,MG,5,0,1,0,6,12,16.6158,42.2153

164,47471139520,lanny@aol.com,Lanny,7/8/1984,M,Governador Valadares,MG,4,1,1,1,3,10,32.4743,49.5825

165,45842010156,mitch@outlook.com,Mitch,13/6/1972,M,Jaragua do Sul,SC,0,1,1,1,9,13,36.17,36.8541

166,44456864209,lorne@gmail.com,Lorne,13/6/1972,M,Sao Paulo,SP,5,0,0,1,7,9,31.0662,44.9256

167,49987773994,leon@yahoo.com,Leon,24/7/1975,M,Sao Bernardo do Campo,SP,0,0,1,0,0,8,12.8695,52.4851

